110	40
110	50
110	60
110	70
110	80
110	90
110	100
120	100
130	100
140	100
150	100
160	100
170	0
170	10
170	20
170	30
170	40
170	50
240	40
240	50
240	60
240	70
240	80
240	90
250	50
260	50
270	50
280	50
290	50
300	50
310	50
310	60
310	70
310	80
310	90
360	40
360	50
360	60
360	70
360	80
370	80
380	80
390	80
400	80
410	80
420	50
420	60
420	70
420	80
420	90
420	100
530	40
540	40
550	40
560	40
570	40
580	40
590	40
590	50
590	60
590	70
590	80
590	90
590	100
600	200
610	200
620	200
630	200
480	110
490	110
500	110
510	110
510	120
510	130
510	140
510	150
510	160
510	170
510	180
520	180
530	180
540	180
550	180
390	150
400	150
410	150
420	150
430	150
440	150
330	200
340	200
350	200
360	200
370	200
380	200
270	150
280	150
290	150
300	150
310	150
180	150
190	150
200	150
210	150
220	150
70	150
80	150
90	150
100	150
110	150
120	150
130	150
80	160
80	170
80	180
80	190
80	200
80	210
80	220
80	230
80	240
80	250
80	260
80	270
100	240
110	240
120	240
130	240
140	240
150	240
160	240
170	240
180	240
190	220
190	230
190	240
190	250
190	260
190	270
190	280
200	240
210	240
260	240
270	240
280	240
290	240
300	240
310	240
320	240
330	240
340	240
350	240
360	240
370	240
380	240
390	240
400	240
410	240
40	390
50	390
60	390
70	390
80	390
90	390
100	390
110	390
120	390
130	390
140	390
80	330
80	340
80	350
80	360
80	370
80	380
210	370
220	370
230	370
240	370
250	370
260	370
270	370
280	370
290	370
240	310
250	310
260	310
270	310
290	310
300	310
310	310
320	310
330	310
340	310
350	310
350	290
350	300
370	360
380	360
390	360
400	360
410	360
460	370
460	380
460	390
460	400
460	410
460	420
460	430
400	410
410	410
420	410
430	410
440	410
530	400
540	400
550	400
560	400
570	400
580	400
560	390
570	390
580	390
590	390
600	390
460	280
470	280
480	280
490	280
500	280
510	280
520	280
530	280
540	280
550	280
560	280
570	280
580	280
520	270
520	290
520	300
520	310
520	320
520	330
510	330
520	330
530	330
540	330
550	330
560	330
60	0
60	10
60	20
60	30
60	40
60	50
60	60
